gene,strain,molecule
ehxA,R13-AF11-pWea-02,chromosome
ehxA,R13-AF11-pWea-04,chromosome
ehxA,R13-AF11-pWea-05,chromosome
ehxA,R13-AF21-pWea-03,chromosome
paa,R13-AF21-pWea-03,plasmid_529
eae,R13-AF22-pSow-01,chromosome
ehxA,R13-AF22-pSow-01,plasmid_1561
VT2_A,R13-AF31-pSow-01,chromosome
VT1_A,R13-AF31-pSow-01,chromosome
ehxA,R13-AF31-pSow-02,plasmid_novel_0
VT1_A,R13-AF31-pSow-04,chromosome
VT2_A,R13-AF31-pSow-04,chromosome
ehxA,R13-AF33-pWea-01,chromosome
ehxA,R13-AF33-pWea-02,chromosome
ehxA,R13-AF33-pWea-03,chromosome
ehxA,R13-AF33-pWea-04,chromosome
ehxA,R13-AF33-pWea-05,chromosome
paa,R13-CV2-pWea-02,chromosome
ehxA,R13-CV2-pWea-02,chromosome
eae,Res13-Croi-PEA15-12,chromosome
ehxA,Res13-Croi-PEA15-12,plasmid_1561
paa,Res13-Croi-PEA15-12,chromosome
ehxA,Res13-Croi-PEA21-28,plasmid_1561
eae,Res13-Croi-PEA21-28,chromosome
paa,Res13-Croi-PEA21-28,chromosome
ehxA,Res13-Croi-PEA22-35,plasmid_1561
eae,Res13-Croi-PEA22-35,chromosome
paa,Res13-Croi-PEA22-35,chromosome
paa,Res13-Croi-PEA24-40,chromosome
eae,Res13-Croi-PEA24-40,chromosome
ehxA,Res13-Croi-PEA24-40,plasmid_1561
paa,Res13-Croi-PEA27-33,chromosome
ehxA,Res13-Croi-PEA27-33,plasmid_1561
eae,Res13-Croi-PEA27-33,chromosome
paa,Res13-Croi-PER03-14,plasmid_377
VT2_A,Res13-Croi-PER03-14,chromosome
ehxA,Res13-Fini-PEA17-13,plasmid_1561
eae,Res13-Fini-PEA17-13,chromosome
paa,Res13-Fini-PEA17-13,chromosome
bfp,Res13-Lact-EA06-47,chromosome
eae,Res13-Lact-EA10-01,chromosome
eae,Res13-Lact-EA22-14,chromosome
eae,Res13-Lact-LEA2-09,chromosome
eae,Res13-Lact-PEA08-37,chromosome
eae,Res13-Lact-PEA10-41,chromosome
eae,Res13-Lact-PEA14-20,chromosome
ehxA,Res13-Lact-PEA25-11,plasmid_1561
paa,Res13-Lact-PEA25-11,chromosome
eae,Res13-Lact-PEA25-11,chromosome
ehxA,Res13-Lact-PEA28-10,plasmid_1561
eae,Res13-Lact-PEA28-10,chromosome
paa,Res13-Lact-PEA28-10,chromosome
ehxA,Res13-Sevr-PEA15-37,plasmid_1561
paa,Res13-Sevr-PEA15-37,chromosome
eae,Res13-Sevr-PEA15-37,chromosome
ehxA,Res13-Sevr-PEA20-33,plasmid_1561
eae,Res13-Sevr-PEA20-33,chromosome
paa,Res13-Sevr-PEA20-33,chromosome
ehxA,Res13-Sevr-PEA24-03,plasmid_1561
paa,Res13-Sevr-PEA24-03,chromosome
eae,Res13-Sevr-PEA24-03,chromosome
paa,Res13-Sevr-PEA27-14,chromosome
eae,Res13-Sevr-PEA27-14,chromosome
ehxA,Res13-Sevr-PEA27-14,plasmid_1561
paa,Res13-Sevr-PEB04-11,chromosome
eae,Res13-Sevr-PEB04-11,plasmid_novel_0
paa,Res13-Sevr-PEB18-05,plasmid_377
VT2_A,Res13-Sevr-PEB18-05,chromosome]
